word,prob,freq,plural
marls,33.76758728504429,,Plural
urges,33.76758728504429,,Plural
surge,33.76758728504429,,
smart,33.7641132534306,67232.0,
trams,33.7641132534306,,Plural
marts,33.7641132534306,,Plural
welts,33.76063922181692,,Plural
ailed,33.75369115858955,,
ideal,33.75369115858955,24367.0,
noire,33.73632100052111,,
toils,33.73632100052111,,Plural
dealt,33.72937293729373,,
delta,33.72937293729373,,
adzes,33.71895084245267,,Plural
dazes,33.71895084245267,,Plural
loner,33.71547681083898,,
enrol,33.71547681083898,,
toner,33.712002779225294,,
noter,33.712002779225294,,
tenor,33.712002779225294,,
aimer,33.70505471599792,,
beaks,33.701580684384226,,Plural
bakes,33.701580684384226,,Plural
hairs,33.68768455792948,,Plural
halos,33.68421052631579,,Plural
lamer,33.68421052631579,,
shoal,33.68421052631579,,
realm,33.68421052631579,16277.0,
mater,33.6807364947021,,
shoat,33.6807364947021,,
tamer,33.6807364947021,,
oaths,33.6807364947021,,Plural
trash,33.66336633663366,16056.0,
harts,33.66336633663366,,Plural
raths,33.66336633663366,,Plural
toile,33.6529442417926,,
mosey,33.64947021017891,,
liter,33.635574083724165,,
tiler,33.635574083724165,,
litre,33.635574083724165,,
loxes,33.63557408372416,,Plural
clues,33.63210005211047,,Plural
sizer,33.6251519888831,,
caves,33.60083376758728,,Plural
pulse,33.60083376758728,14341.0,
upset,33.5973597359736,23566.0,
setup,33.5973597359736,,
haler,33.583463609518844,,
hater,33.57998957790516,,
earth,33.57998957790516,134202.0,
heart,33.57998957790516,216345.0,
paves,33.56956748306409,,Plural
vapes,33.56956748306409,,Plural
jades,33.55914538822303,,Plural
dimes,33.55219732499565,,Plural
deism,33.55219732499565,,
diems,33.55219732499565,,Plural
shyer,33.53135313531353,,
melds,33.53135313531353,,Plural
dowse,33.50008685079034,,
sowed,33.50008685079034,,
talus,33.49313878756296,,Plural
latus,33.49313878756296,,Plural
roids,33.458398471426094,,Plural
shied,33.45145040819871,,
hides,33.45145040819871,,Plural
bents,33.44450234497133,,Plural
lords,33.437554281743964,,Plural
homes,33.3993399339934,,Plural
yules,33.36112558624283,,Plural
suety,33.35765155462914,,
older,33.35417752301546,,
doter,33.350703491401774,,
singe,33.3437554281744,,
dunes,33.34028139656071,,Plural
nudes,33.340281396560705,,Plural
bolas,33.340281396560705,,Plural
boats,33.33680736494702,,Plural
boast,33.33680736494702,,
glens,33.32291123849227,,Plural
gents,33.31943720687858,,Plural
brats,33.319437206878575,,Plural
greps,33.302067048810144,,Plural
wages,33.26037866944589,,Plural
eased,33.24995657460483,,
assed,33.24995657460483,,
deads,33.24995657460482,,Plural
blare,33.23953447976376,,
blear,33.23953447976376,,
abler,33.23953447976376,,
baler,33.23953447976376,,
gaols,33.21521625846795,,Plural
goals,33.21521625846795,,Plural
mules,33.21174222685426,,Plural
goats,33.21174222685426,,Plural
ovens,33.21174222685426,,Plural
togas,33.21174222685426,,Plural
mutes,33.20826819524058,,Plural
obeys,33.204794163626886,,Plural
spice,33.18742400555845,,
epics,33.18742400555845,,Plural
byres,33.18742400555845,,Plural
fakes,33.16657981587632,,Plural
rises,33.15615772103526,,Plural
sires,33.15615772103526,,Plural
riser,33.15615772103526,,
siree,33.15615772103526,,
loses,33.15268368942157,,Plural
oleos,33.15268368942157,,Plural
soles,33.15268368942157,,Plural
